q_index,query_type,notes,question
0,direct-lookup,FY2018 capex single cash flow statement extract,What is the FY2018 capital expenditure amount (in USD millions) for 3M? Give a response to the question by relying on the details shown in the cash flow statement.
1,direct-lookup,FY2018 year-end net PPNE balance sheet extract,Assume that you are a public equities analyst. Answer the following question by primarily using information that is shown in the balance sheet: what is the year end FY2018 net PPNE for 3M? Answer in USD billions.
2,conceptual,FY2022 capital intensity assessment and judgment,Is 3M a capital-intensive business based on FY2022 data?
3,conceptual,FY2022 operating margin driver attribution analysis,"What drove operating margin change as of FY2022 for 3M? If operating margin is not a useful metric for a company like this, then please state that and explain why."
4,comparative,2022 segment growth comparison excluding M&A impact,"If we exclude the impact of M&A, which segment has dragged down 3M's overall growth in 2022?"
5,conceptual,Q2 FY2023 quick ratio liquidity assessment judgment,"Does 3M have a reasonably healthy liquidity profile based on its quick ratio for Q2 of FY2023? If the quick ratio is not relevant to measure liquidity, please state that and explain why."
6,direct-lookup,Q2 2023 registered debt securities direct list,Which debt securities are registered to trade on a national securities exchange under 3M's name as of Q2 of 2023?
7,comparative,Dividend distribution trend analysis over periods,Does 3M maintain a stable trend of dividend distribution?
8,calculation,FY2019 fixed asset turnover ratio calculation,What is the FY2019 fixed asset turnover ratio for Activision Blizzard? Fixed asset turnover ratio is defined as: FY2019 revenue / (average PP&E between FY2018 and FY2019). Round your answer to two decimal places. Base your judgments on the information provided primarily in the statement of income and the statement of financial position.
9,calculation,FY2017-2019 capex-to-revenue 3-year average,What is the FY2017 - FY2019 3 year average of capex as a % of revenue for Activision Blizzard? Answer in units of percents and round to one decimal place. Calculate (or extract) the answer from the statement of income and the cash flow statement.
10,calculation,FY2015 operating cash flow ratio calculation,You are an investment banker and your only resource(s) to answer the following question is (are): the statement of financial position and the cash flow statement. Here's the question: what is the FY2015 operating cash flow ratio for Adobe? Operating cash flow ratio is defined as: cash from operations / total current liabilities. Round your answer to two decimal places.
11,calculation,FY2015-2016 operating income YoY percent change,What is Adobe's year-over-year change in unadjusted operating income from FY2015 to FY2016 (in units of percents and round to one decimal place)? Give a solution to the question by using the income statement.
12,calculation,FY2017 operating cash flow ratio calculation,What is the FY2017 operating cash flow ratio for Adobe? Operating cash flow ratio is defined as: cash from operations / total current liabilities. Round your answer to two decimal places. Please utilize information provided primarily within the balance sheet and the cash flow statement.
13,conceptual,FY2022 operating margin trend and utility assessment,"Does Adobe have an improving operating margin profile as of FY2022? If operating margin is not a useful metric for a company like this, then state that and explain why."
14,comparative,FY2022 free cash flow conversion trend evaluation,Does Adobe have an improving Free cashflow conversion as of FY2022?
15,direct-lookup,FY2022 restructuring costs explicit income statement line,What is the quantity of restructuring costs directly outlined in AES Corporation's income statements for FY2022? If restructuring costs are not explicitly outlined then state 0.
16,calculation,FY2022 inventory turnover ratio or conceptual relevance judgment,Roughly how many times has AES Corporation sold its inventory in FY2022? Calculate inventory turnover ratio for the FY2022; if conventional inventory management is not meaningful for the company then state that and explain why.
17,calculation,FY2022 return on assets ROA calculation,"Based on the information provided primarily in the statement of financial position and the statement of income, what is AES's FY2022 return on assets (ROA)? ROA is defined as: FY2022 net income / (average total assets between FY2021 and FY2022). Round your answer to two decimal places."
18,calculation,FY2017 days payable outstanding DPO calculation,What is Amazon's FY2017 days payable outstanding (DPO)? DPO is defined as: 365 * (average accounts payable between FY2016 and FY2017) / (FY2017 COGS + change in inventory between FY2016 and FY2017). Round your answer to two decimal places. Address the question by using the line items and information shown within the balance sheet and the P&L statement.
19,calculation,FY2016-2017 revenue YoY percent change,What is Amazon's year-over-year change in revenue from FY2016 to FY2017 (in units of percents and round to one decimal place)? Calculate what was asked by utilizing the line items clearly shown in the statement of income.
20,direct-lookup,FY2019 net income attributable to shareholders extract,"By drawing conclusions from the information stated only in the income statement, what is Amazon's FY2019 net income attributable to shareholders (in USD millions)?"
21,direct-lookup,FY2020 year-end net AR balance sheet extract,What is Amcor's year end FY2020 net AR (in USD millions)? Address the question by adopting the perspective of a financial analyst who can only use the details shown within the balance sheet.
22,direct-lookup,8K filing July 1 2022 agenda key objective,What was the key agenda of the AMCOR's 8k filing dated 1st July 2022?
23,comparative,FY2023 vs FY2022 quick ratio trend judgment,"Has AMCOR's quick ratio improved or declined between FY2023 and FY2022? If the quick ratio is not something that a financial analyst would ask about a company like this, then state that and explain why."
24,direct-lookup,FY2023 FY2022 FY2021 major acquisitions list,"What are major acquisitions that AMCOR has done in FY2023, FY2022 and FY2021?"
25,direct-lookup,Primary industry classification direct statement,What industry does AMCOR primarily operate in?
26,comparative,FY2023 gross margin profile improvement assessment,"Does AMCOR have an improving gross margin profile as of FY2023? If gross margin is not a useful metric for a company like this, then state that and explain why."
