q_index,reasoning,retrieval,notes,question
0,single-hop,common,"Grammys most album-of-year wins, person",Who holds the all-time record at the Grammys for the most wins in the album of the year category?
1,multi-hop,tricky-phrasing,"NBA 60+ point games since 2023; alt fresh","How many NBA players have scored 60 or more points in a regular season game since 2023?"
2,single-hop,fresh,pick most recent from current top-10 grossing,What is the most recent film to join the top 10 highest-grossing films of all time?
3,multi-hop,tricky-phrasing,"American + experimental qualifier, then compute age",What is the current age of the last American experimental physicist to win the Nobel Prize in Physics?
4,single-hop,common,IATA member airline count,"How many airlines are members of IATA, the organization that supports airline activity and helps formulate industry policy and standards?"
5,multi-hop,tricky-phrasing,Jamie Oliver books since 2020 qualifier,How many books has Jamie Oliver published since 2020?
6,multi-hop,specialized,"EMNLP latest acceptance rate, combine main+findings","What was the acceptance rate for the most recent Conference on Empirical Methods in Natural Language Processing (EMNLP), including both the main conference and Findings?"
7,multi-hop,tricky-phrasing,Forbes top-10 athletes filtered by golfer + US-resident,How many of the top 10 highest-paid athletes in the latest Forbes list are professional golfers living in the U.S.?
8,multi-hop,specialized,".NET versions with >12mo support, niche release-cadence doc",How many versions of the .NET platform have been released that have a support lifetime of more than 12 months?
9,multi-hop,fresh,YouTube music videos >7B views,How many YouTube music videos have surpassed 7 billion views?
10,multi-hop,tricky-phrasing,Rings of Power episodes NOT directed solely by one director,"Across all released seasons, how many episodes of The Lord of the Rings: The Rings of Power were not directed solely by Charlotte Brändström?"
11,multi-hop,fresh,Ronaldo posts in top-50 AND >32M likes,"Among the 50 most-liked Instagram posts, how many were made by Cristiano Ronaldo’s account and received over 32 million likes?"
12,multi-hop,tricky-phrasing,"non-football top-20 intersected with overall top-20; alt fresh",How many of the top 20 most-liked Instagram posts by non-football-related accounts—excluding footballers like Lionel Messi and Cristiano Ronaldo and football organizations—also appear in the overall top 20 most-liked posts? Note that Selena Gomez does not have any posts in the overall top 20 most-liked posts.
13,multi-hop,fresh,top-50 followed IG accounts US-based,How many of the top 50 most-followed Instagram accounts belong to individuals or entities based in the United States?
14,multi-hop,fresh,top-30 YouTube videos by MrBeast,How many of the top 30 most-liked YouTube videos belong to MrBeast?
15,multi-hop,fresh,YouTube videos >29M likes,How many videos on YouTube have received more than 29 million likes?
16,multi-hop,fresh,YouTube videos >4B views,How many YouTube videos have surpassed 4 billion views?
17,multi-hop,fresh,top-50 YouTube channels based in India,How many of the top 50 most-subscribed YouTube channels are based in India?
18,multi-hop,tricky-phrasing,top-50 channels using ONLY English,How many of the 50 most-subscribed YouTube channels use only English as their primary language?
19,multi-hop,fresh,pre-2020 films currently in top-30 grossing,How many films released before 2020 are currently among the top 30 highest-grossing films worldwide?
20,multi-hop,fresh,consecutive-WDC winners who raced this year,"Of the drivers who have won consecutive World Drivers' Championships, how many competed in this year's Championship?"
21,multi-hop,tricky-phrasing,American artists with >40 Grammy nominations,How many American artists have received more than 40 Grammy nominations?
22,multi-hop,fresh,this-year films >$150M with lowest revenue,"Among this year's films that have grossed over $150 million worldwide, which has earned the least revenue?"
23,multi-hop,tricky-phrasing,deadliest tropical storm that stayed at TS-level last year,"Which North Atlantic tropical storm, whose peak intensity remained at tropical storm level, caused the highest number of deaths last year?"
24,single-hop,specialized,Coco Gauff WTA points right after last US Open,What was Coco Gauff's WTA ranking points total immediately after last year's US Open – Women's Singles?
25,multi-hop,common,individuals who won Oscar Best Animated Feature,How many individuals have won the Oscar for Best Animated Feature?
26,multi-hop,fresh,non-brand TikTok accounts >45M followers,How many non-brand TikTok accounts have reached more than 45 million followers?
27,single-hop,specialized,Google offices across Asian countries (preamble is distractor),"Google is significantly expanding its presence in the Asia-Pacific region, with Singapore as their current Asia Pacific headquarters. How many office locations does the company currently operate across Asian countries?"
28,single-hop,specialized,largest Northern California wildfire last year,What is the name of the largest wildfire in Northern California last year?
29,single-hop,common,current age of youngest chess GM,What is the current age of the youngest grandmaster of chess?
30,multi-hop,specialized,sum India Arts civilian awards 2015-2025,What is the total number of civilian awards conferred in the Arts discipline in India from 2015 to 2025?
31,single-hop,specialized,Sahitya Akademi total documentary count,What is the total number of documentary films produced by Sahitya Akademi?
32,multi-hop,specialized,women's soccer 100+ goals with highest goals/match,"Among women’s soccer players with 100 or more international goals, who has the highest goals-per-match ratio?"
33,multi-hop,specialized,Sahitya Akademi docs under 30min,How many documentary films produced by Sahitya Akademi to date have a duration of less than 30 minutes?
34,multi-hop,specialized,Google offices opened APAC/Africa/ME since Jan 2022,"How many total offices has Google opened across the Asia–Pacific, Africa, and Middle East regions since January 1, 2022?"
35,unanswerable,tricky-phrasing,no Womens World Cup in 2026,"Which three North American countries will host the 2026 FIFA's Women World Cup, the first to be co-hosted by three nations and the first North American World Cup since 1994?"
36,unanswerable,tricky-phrasing,no female topped Spotify 3 consecutive years 2020-2022,Who is the only female artist to have topped Spotify's list of most-streamed artists in three consecutive years (2020–2022)?
37,single-hop,tricky-phrasing,"tropical rainforest = Congolian not Amazon, by share-of-remaining",Which tropical rainforest represents a quarter of the total area of remaining tropical forests on Earth and comprises one of the largest and most biodiverse tracts of tropical rainforest in the world?
38,multi-hop,tricky-phrasing,"countries both Trump-first-term and Biden visited, incl. West Bank","How many countries did both Donald Trump (during his first term) and Joe Biden visit during their presidencies, including the West Bank?"
39,single-hop,specialized,"in-place stable sort with O(n log n) worst, O(n) best","What is the name of the in-place, stable comparison sorting algorithm with a worst-case time complexity of O(n log n) and a best-case time complexity of O(n)?"
40,multi-hop,common,sum of palindromic 3-letter Roman numerals,What is the sum of all three-letter Roman numerals that read the same forwards and backwards?
41,single-hop,tricky-phrasing,longest border by total length = Kazakhstan/Russia not US/Canada,Which two countries share the longest continuous international border in the world by total length?
42,single-hop,specialized,first awards ceremony where Oppenheimer won Best Film,"At which awards ceremony did the film Oppenheimer, a solemn three-hour biopic that became an unlikely billion-dollar box-office sensation, first win the Best Film award?"
43,unanswerable,tricky-phrasing,Fermat: cube cannot be sum of two cubes,What is the smallest cube number which can be expressed as the sum of two different positive cube numbers in two different ways?
44,unanswerable,tricky-phrasing,no square is prime,"What is the smallest positive integer that can be written as the sum of two perfect squares, with both of these perfect squares being prime numbers?"
45,multi-hop,tricky-phrasing,countries NOT in paid-only YT Music list at 2018 expansion,How many countries were not listed as offering only paid access to YouTube Music at the time of its initial expansion in 2018?
46,multi-hop,tricky-phrasing,deadliest Philippine typhoon 2001-2010 decade,In what year did the deadliest Philippine typhoon of the first decade of the 21st century occur?
47,multi-hop,common,living animals with max mass >60 tonnes,How many of the heaviest living animals can reach a maximum mass exceeding 60 tonnes?
48,single-hop,tricky-phrasing,Mercury(I) chloride trap: valency is 2 not 1,What is the valency of mercury in Mercury(I) chloride?
49,multi-hop,tricky-phrasing,Polish Land Forces smoke grenades EXCLUSIVELY Soviet-origin,How many smoke grenade models listed in the Polish Land Forces equipment originate exclusively from the Soviet Union?
50,multi-hop,tricky-phrasing,"Brad Pitt actor+producer (not exec) before COVID",How many films was Brad Pitt credited as both an actor and a producer (excluding executive producer roles) before the Covid-19 pandemic?
